Distributive1,Distributive2,Distributive3,Distributive4,Procedural1,Procedural2,Procedural3,Procedural4,Interaction1,Interaction2,Interaction3,Authentic1,Authentic2,Authentic3,Authentic4,RecSat1,RecSat2,RecSat3,RecSat4,Revisit1,Revisit2,Revisit3
2,2,2,2,3,2,2,2,3,3,2,4,4,3,3,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,3,2,3,2,2,2,3
4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3
2,2,3,2,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,2,2,2
3,3,3,3,4,4,4,4,3,4,4,3,3,2,3,3,3,4,2,4,4,3
1,1,1,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,3,2,2,3,2,3,1,1,1,3,2,2,1,1,1,1
2,3,2,2,4,3,3,3,4,4,4,4,4,3,2,4,3,3,3,4,3,2
4,1,2,3,4,4,2,3,4,4,3,3,3,2,2,3,2,2,2,2,2,1
1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1
1,2,2,1,3,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2,1
2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,2,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,4,3,3
4,3,4,3,3,4,4,3,4,4,3,3,4,2,3,4,3,3,3,3,3,3
3,4,4,3,3,3,3,4,3,3,4,3,2,3,3,3,4,3,4,3,4,4
3,2,4,3,4,4,4,2,4,4,4,2,2,2,2,3,3,3,3,4,4,2
2,3,1,1,2,1,2,1,4,4,3,2,1,1,2,2,3,3,2,1,2,1
3,4,2,2,4,4,3,4,4,4,4,4,3,3,2,4,4,3,3,3,3,3
2,2,2,2,3,3,3,2,2,2,2,3,3,3,3,4,3,3,4,3,3,2
2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1
3,3,1,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,4,4,3
2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3
1,1,1,1,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,1,1,1
2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3
4,4,4,4,5,3,4,4,4,4,4,3,3,3,3,3,4,3,4,3,3,2
5,5,5,5,4,4,4,4,4,5,5,4,3,3,4,4,4,4,4,4,4,4
4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,3
4,3,2,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,2
5,4,4,4,3,4,4,3,4,4,4,3,2,2,2,3,3,4,3,3,2,2
3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2
4,4,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,3,3
3,3,1,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3
1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1
